"Pesticide1","Pesticide2","SES_Adjusted","Effect","P_value","Significant","Included_SES","N_obs","N_years","N_SC","Filter_Description"
"XATRAZINE","XGLYPHOSATE","Combined_SES",-0.0540234535588806,0.739010778771265,FALSE,"Education.index",2013,21,102,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","NULL",0.239118177733752,0.0101374199848756,TRUE,"None",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","NULL+Pesti2",0.278982807224393,0.0113252060848427,TRUE,"None",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Education.index",0.246512375762878,0.0225928458466602,TRUE,"Education.index",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Income",0.272806988680632,0.0132545449965944,TRUE,"Income",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","home_value",0.248532566546498,0.034089532447525,TRUE,"home_value",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","rent",0.221773569487141,0.0584806349410997,FALSE,"rent",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Poverty_150",0.316256384977998,0.00629063754282775,TRUE,"Poverty_150",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Unemployed",0.387641398486495,0.0016965320884847,TRUE,"Unemployed",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Working_class",0.271620299945072,0.0170752305456447,TRUE,"Working_class",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XIMIDACLOPRID","Combined_SES",0.246512375762878,0.0225928458466602,TRUE,"Education.index",1492,19,101,"SC≥10|Top5%"
"XATRAZINE","XNICOSULFURON","NULL",0.42034830730204,2.43647927032064e-05,TRUE,"None",1704,21,100,"SC≥10|Top5%"
"XATRAZINE","XNICOSULFURON","NULL+Pesti2",0.136971327268918,0.517974550098701,FALSE,"None",1704,21,100,"SC≥10|Top5%"
"XATRAZINE","XNICOSULFURON","Education.index",0.0910569671181217,0.66808285241183,FALSE,"Education.index",1704,21,100,"SC≥10|Top5%"
"XATRAZINE","XNICOSULFURON","Income",0.135799485836416,0.521922880421378,FALSE,"Income",1704,21,100,"SC≥10|Top5%"
"XATRAZINE","XNICOSULFURON","home_value",0.128387007770178,0.549955985778502,FALSE,"home_value",1704,21,100,"SC≥10|Top5%"
